Generated,Corrected
សូមអរគុណចំពោះការយកចិត្តទុកដាក់ចំពោះប្រធានបទនេះ។,សូមអរគុណចំពោះការយកចិត្តទុកដ
ដោយក្ដីគោរព，,ដោយក្ដីគោរព，
យើងមានអារម្មណ៍រំភើបក្នុងការប្រាប់ថាក្រុមអកកេះដែលមានទឹកចិត្តរបស់យើង ‘Happy Clapper’ ដែលមានសមាជិក 20 នាក់ពីថ្នាក់ទី 2 និង 3 នឹងបង្ហាញជំនាញ និងសិល្បៈរបស់ពួកគេនៅក្នុងការប្រកួត Eisteddfod ដែលកំពុងមកដល់នៅសាលាកម្មវិធី Sydney Opera House។,យើងមានអារម្មណ៍រំភើបក្នុងការប្រកាសឱ្យដឹងថាក្រុមរាំល្ខោនមានទេពកោសល្យរបស់យើងឈ្មោះ ‘Happy Clapper (អ្នកទះដៃសប្បាយរីករាយ)’ ដែលមានសិស្សចំនួន 20 នាក់ នៅឆាកសម្ដែងទី 2 និងទី 3 នឹងបង្ហាញជំនាញ និងស្នាដៃវិចិត្រសិល្បៈរបស់ពួកគេនៅក្នុងការប្រកួត Eisteddfod ដែលនឹងមកដល់នាពេលខាងមុខនៅ Sydney Opera House (សាលមហោស្រពស៊ីដនី)។
អ្នករាំបានកំណត់ពេលវេលាដើម្បីបង្រៀន និងអភិវឌ្ឍន៍កាលវិភាគរបស់ពួកគេក្រោមការដឹកនាំរបស់គ្រូបង្រៀន ហើយពួកគេបានត្រៀមខ្លួនសម្រាប់ចូលរួមលើឆាកជាមួយនឹងជំនាញ និងអារម្មណ៍រំភើប។,អ្នករាំបានកំពុងតែហ្វឹកសម និងសម្ដែងបានល្អឥតខ្ចោះតាមទម្លាប់ជាប្រចាំរបស់ពួកគេ ដែលស្ថិតនៅក្រោមការណែនាំរបស់គ្រូបង្ហាត់របស់ពួកគេ ហើយពួកគេត្រៀមខ្លួនដើម្បីឡើងលើឆាកសម្ដែងប្រកបដោយទំនុកចិត្ត និងក្ដីរំភើប។
នេះគឺជាឱកាសអស្ចារ្យសម្រាប់សិស្សរបស់យើងក្នុងការបង្ហាញពីភាពច្នៃប្រឌិត ការងារជាក្រុម និងការមានចិត្តសាស្ត្រ្តចំពោះអកកេះ។,នេះគឺជាឱកាសដ៏អស្ចារ្យសម្រាប់សិស្សរបស់យើងក្នុងការបង្ហាញពីភាពច្នៃប្រឌិត ការងារជាក្រុម និងការបំផុសគំនិតសម្រាប់របាំរបស់ពួកគេ។
យើងមកគាំទ្រនិងជួយសរសើរក្រុមអកកេះរបស់យើងនៅពេលពួកគេចាក់ពន្លឺឲ្យឆេះជើងឯកនូវទេពកោសល្យ និងការប្តេជ្ញាចិត្តរបស់ពួកគេនៅ Eisteddfod!,ចូរយើងនាំគ្នាបង្ហាញនូវការគាំទ្រ និងការស្រែកអបអរសាទររបស់យើង ដល់ក្រុមរាំល្ខោនមានទេពកោសរបស់យើង នៅពេលពួកគេធ្វើឱ្យឆាកសម្ដែងមានភាពរំភើបជាមួយនឹងទេពកោសល្យ និងការបរិច្ចាគជូនសាធារណៈរបស់ពួកគេនៅ Eisteddfod!
"រាល់គ្រូបង្គោល និងឪពុកម្តាយទាំងអស់,","សូមជម្រាបជូនមាតាបិតា និងអាណាព្យាបាលជាទីគោរព,"
យើងមានក្តីរំភើបក្នុងការប្រកាសអំពីកម្មវិធីវិទ្យាសាស្ត្រ ដែលនឹងកើតឡើងសម្រាប់សិស្សឆ្នាំទី ៨ នៅសាលាហាមមូនី។,យើងមានក្តីរំភើបក្នុងការប្រកាសអំពីដំណើរកម្សាន្តក្នុងសាលាទាក់ទងនឹងវិទ្យាសាស្ត្រ ដែលនឹងកើតឡើងក្នុងពេលឆាប់ៗខាងមុខសម្រាប់សិស្សឆ្នាំទី ៨ នៅឯកម្មវិធី Harmony High School (វិទ្យាល័យភាពសុខដុមរមនា)។
"កម្មវិធីនេះមានចំណងជើងថា ""ការស្វែងយល់អំពីអាកាសកម្រិតរបស់យើង"" នឹងផ្តល់នូវបទពិសោធន៍រៀនដែលមានការចូលរួម និងមានអត្ថន័យអំពីអ្វីអស្ចារ្យនៃកម្រិត Milky Way របស់យើង។","ដំណើរកម្សាន្តក្នុងសាលានេះមានចំណងជើងថា ""ការរុករកកញ្ចុំផ្កាយរបស់យើង"" នឹងផ្តល់នូវបទពិសោធន៍រៀនសូត្រដែលមានការចូលរួម និងមានអន្តរកម្មភាពអំពីភាពអស្ចារ្យនៃកញ្ចុំផ្កាយវិថី Milky (Milky Way galaxy) របស់យើង។"
ព័ត៌មានអំពីកម្មវិធី៖,ព័ត៌មានលម្អិតអំពីដំណើរកម្សាន្តក្នុងសាលា៖
ថ្ងៃ: ថ្ងៃពុធ ទី 17 ខែមីនា។,កាលបរិច្ឆេទ៖ ថ្ងៃពុធ ទី 17 ខែមីនា។
ម៉ោង: 10:00 ព្រឹក - 12:00 ថ្ងៃត្រង់។,ម៉ោង: 10:00 ព្រឹក - 12:00 ថ្ងៃត្រង់។
ទីតាំង: អូឌីតូរីយមសាលាហាមមូនី។,ទីតាំង៖ Harmony High School Auditorium (សាលប្រជុំវិទ្យាល័យភាពសុខដុមរមនា)។
តម្លៃ: $20 សម្រាប់សិស្ស ១ នាក់។,តម្លៃ៖ $20 សម្រាប់សិស្ស ១ នាក់។
ក្នុងកម្មវិធីនេះ សិស្សនឹងមានឱកាស៖,ក្នុងអំឡុងពេលនៃដំណើរកម្សាន្តក្នុងសាលានេះ សិស្សនឹងមានឱកាស៖
រៀនអំពីការបង្កើត និងរចនាសម្ព័ន្ធនៃកម្រិតរបស់យើង។,រៀនសូត្រអំពីការបង្កើត និងរចនាសម្ព័ន្ធនៃកញ្ចុំផ្កាយរបស់យើង
"រកឃើញអាទិភាពអស្ចារ្យអំពីផ្កាយ, ផែនដី, និងរាងកាយឌីជីថលផ្សេងៗ។","រកឃើញការពិតដ៏អស្ចារ្យអំពីផ្កាយ ផែនដី, និងស្ថាប័ននៅលើមេឃផ្សេងទៀត"
ចូលរួមក្នុងសកម្មភាព និងការសាកល្បងដែលមានការចាប់ផ្តើម។,ចូលរួមក្នុងសកម្មភាព និងការពិសោធន៍ដោយផ្ទាល់ដៃមួយចំនួន
ចូលរួមជាមួយអ្នកបង្ហាញជំនាញ និងសួរប្រកាស។,ចូលរួមជាមួយអ្នកផ្ដល់បទបង្ហាញជំនាញ និងសួរសំណួរនានា។
តម្លៃនៃកម្មវិធីនេះគឺ $20 សម្រាប់សិស្ស ១ នាក់ ដែលគ្របដណ្តប់ការចំណាយសម្រាប់អ្នកបង្ហាញជំនាញ និងសម្ភារៈ។,តម្លៃនៃដំណើរកម្សាន្តក្នុងសាលានេះគឺ $20 សម្រាប់សិស្ស ១ នាក់ ដែលគ្របដណ្តប់លើការចំណាយសម្រាប់អ្នកផ្ដល់បទបង្ហាញជំនាញ និងសម្ភារៈនានា។
សូមធានាថាការបង់ប្រាក់ត្រូវបានធ្វើតាមផ្លូវឧបត្ថម្ភសាលានៅថ្ងៃសុក្រ ទី 12 ខែមីនា។,សូមធ្វើឱ្យប្រាកដថាការទូទាត់ប្រាក់ត្រូវធ្វើតាមរយៈផតថលទូទាត់ប្រាក់របស់សាលា ឱ្យបានត្រឹមថ្ងៃសុក្រ ទី 12 ខែមីនា។
សូមបញ្ចប់ស្លាកសិទ្ធិដែលភ្ជាប់មកជាមួយ និងត្រឡប់វាទៅកាន់គ្រូវិទ្យាសាស្ត្ររបស់កូនអ្នកនៅថ្ងៃដូចគ្នា។,សូមបំពេញប័ណ្ណអនុញ្ញាតដែលបានភ្ជាប់មកជាមួយនេះ និងដាក់បញ្ជូនទៅអ្នកគ្រូបង្រៀនមុខវិជ្ជាវិទ្យាសាស្ត្ររបស់កូនអ្នកនៅកាលបរិច្ឆេទដូចគ្នានេះ។
ការចូលរួមនេះគឺជាឱកាសដ៏អស្ចារ្យសម្រាប់សិស្សរបស់យើងក្នុងការកាន់កាប់ការយល់ដឹងអំពីព្រះចន្ទ និងទទួលបានការចាប់អារម្មណ៍បន្ថែមសម្រាប់កាកសារដែលយើងរស់នៅ។,ដំណើរកម្សាន្តក្នុងសាលានេះគឺជាឱកាសដ៏អស្ចារ្យសម្រាប់សិស្សរបស់យើងក្នុងការធ្វើឱ្យមានការយល់ដឹងស៊ីជម្រៅអំពីតារាវិទ្យា និងទទួលបានការកោតសរសើរកាន់តែច្រើននៃចក្រវាលដែលយើងរស់នៅ។
យើងជឿថាវានឹងជាបទពិសោធន៍ដ៏ចំរូងចំរាសន៍និងអប់រំសម្រាប់អ្នកចូលរួមទាំងអស់។,យើងជឿថាវានឹងជាបទពិសោធន៍ដ៏បំផុសគំនិត និងអប់រំមួយសម្រាប់អ្នកចូលរួមទាំងអស់។
ប្រសិនបើអ្នកមានសំណួរ ឬត្រូវការព័ត៌មានបន្ថែម សូមកុំ hésiter ទាក់ទងទៅការិយាល័យសាលា។,បើមានសំណួរឬត្រូវការព័ត៌មានបន្ថែម សូមកុំស្ទាក់ស្ទើរនៅក្នុងការទំនាក់ទំនងមកការិយាល័យសាលា។
សូមអរគុណសម្រាប់ការគាំទ្ររបស់អ្នកក្នុងការផ្តល់បទពិសោធន៍អប់រំដ៏មានតម្លៃសម្រាប់សិស្សរបស់យើង។,សូមអរគុណចំពោះការគាំទ្ររបស់អ្នកក្នុងការផ្តល់បទពិសោធន៍សិក្សាដ៏មានអត្ថន័យសម្រាប់សិស្សរបស់យើង។
សូមគោរពយ៉ាងកក់ក្តៅ។,"ដោយសេចក្ដីរាប់អានដ៏កក់ក្ដៅ,"
ស្លាកសិទ្ធិ៖,ប័ណ្ណអនុញ្ញាត៖
"ខ្ញុំអនុញ្ញាតិឱ្យកូនរបស់ខ្ញុំ ដែលនៅឆ្នាំទី 8 ចូលរួមក្នុងការចូលរួមវិទ្យាសាស្ត្រ ""ការស្វែងយល់ពីកាលកំណើតរបស់យើង"" នៅថ្ងៃពុធ ទី 17 ខែមីនា។","ខ្ញុំផ្ដល់ការអនុញ្ញាតឱ្យកូនរបស់ខ្ញុំរៀនថ្នាក់ទី ៨ ចូលរួមនៅក្នុងដំណើរកម្សាន្តក្នុងសាលាទាក់ទងនឹងវិទ្យាសាស្ត្រ ""ការរុករកកញ្ចុំផ្កាយរបស់យើង"" នៅថ្ងៃពុធ ទី១៧ ខែមីនា។"
ខ្ញុំយល់ថា តម្លៃនៃការចូលរួមនេះគឺ $20 ហើយយល់ព្រមធ្វើការបង់ប្រាក់តាមផ្លូវឧបត្ថម្ភសាលានៅថ្ងៃសុក្រ ទី 12 ខែមីនា។,ខ្ញុំយល់ថាតម្លៃនៃដំណើរកម្សាន្តក្នុងសាលាគឺ $20 ហើយខ្ញុំយល់ព្រមធ្វើការទូទាត់ប្រាក់តាមផតថលទូទាត់ប្រាក់សាលាឱ្យបានត្រឹមថ្ងៃសុក្រ ទី ១២ ខែមីនា។
ឈ្មោះឪពុក/ម្ដាយ;,ឈ្មោះឪពុកម្ដាយ /អាណាព្យាបាល
ការចុះហត្ថលេខារបស់ឪពុក/ម្ដាយ;,ហត្ថលេខាឪពុកម្ដាយ /អាណាព្យាបាល
ថ្ងៃទី។,កាលបរិច្ឆេទ។
សូមត្រឡប់ស្លាកសិទ្ធិនេះទៅកាន់គ្រូវិទ្យាសាស្ត្ររបស់កូនអ្នកនៅថ្ងៃសុក្រ ទី 12 ខែមីនា។,សូមបញ្ជូនត្រឡប់ទៅវិញនូវប័ណ្ណអនុញ្ញាតនេះទៅគ្រូបង្រៀនមុខវិជ្ជាវិទ្យាសាស្ត្ររបស់កូនអ្នកឱ្យបានត្រឹមថ្ងៃសុក្រ ទី ១២ ខែមីនា។
សូមស្វាគមន៍៖,ការស្វាគមន៍៖
"សួស្តី,","សួស្តី,"
"សួស្តី,","សួស្តី,"
"សួស្តី,","ហេ,"
"សូមអរុណសួស្តី,","អរុណសួស្តី,"
"សូមស្វាគមន៍រសៀល,","សាយណ្ណសួស្ដី,"
"សូមស្វាគមន៍យប់,","សាយណ្ណ ឬរាត្រីសួស្ដី,"
"សូមស្វាគមន៍,","ការស្វាគមន៍,"
"សួរសុខទាក់ទង,","សួស្តី,"
"សូមស្វាគមន៍,","ការគោរពស្វាគមន៍,"
សួស្តី។,សួស្តី។
កុមារ ១:,កុមារទី ១៖
សួស្តី ខ្ញុំជាលីលី តើអ្នកមានឈ្មោះអ្វី?,សួស្តី ខ្ញុំឈ្មោះលីលី (Lily) តើអ្នកមានឈ្មោះអ្វីដែរ?
កុមារ ២:,កុមារទី ២៖
ខ្ញុំជាលូស៊ីយ៉ា។,ខ្ញុំឈ្មោះលូស៊ីយ៉ា (Lucia)។
កុមារ ១:,កុមារទី ១៖
តើអ្នកមានសត្វចិញ្ចឹមអ្វីទេ?,តើអ្នកមានសត្វចិញ្ចឹមទេ?
កុមារ ២:,កុមារទី ២៖
បាទ/ចា៎ ខ្ញុំមានឆ្មាដ៏មានឈ្មោះវីស្កឺស។,ចា៎ ខ្ញុំមានឆ្មាមួយឈ្មោះវីស្កឺស (Whiskers)។
តើអ្នក呢?,ចុះអ្នកវិញ?
កុមារ ១:,កុមារទី ១៖
វាអស្ចារ្យណាស់ ម៉ាក់!,វាអស្ចារ្យណាស់ ម៉ាក (Max)!
ខ្ញុំមានឆ្កែឈ្មោះស្ពាកី។,ខ្ញុំមានឆ្កែមួយឈ្មោះស្ពាកី (Sparky )។
គាត់មានអារម្មណ៍លេងខ្លាំង និងចូលចិត្តដើរក្រោមបាល់។,ឆ្កែខ្ញុំចូលចិត្តលេងខ្លាំងណាស់ ហើយវាចូលចិត្តដេញចាប់បាល់។
កុមារ ២:,កុមារទី ២៖
វីស្កឺសចូលចិត្តគេងក្រោមព្រះអាទិត្យ និងលេងជាមួយបាល់យ៉ន។,វីស្កឺស (Whiskers ) ចូលចិត្តដេកលេងនៅក្រោមពន្លឺព្រះអាទិត្យ និងលេងជាមួយបាល់ធ្វើពីអំបោះ។
ចំណងជើងមេរៀន:,ចំណងជើងមេរៀន៖
ស្រាវជ្រាវអំពីសំឡេង 'oo'។,ការរុករកសំឡេង 'oo'។
មេរៀនភាសាខ្មែរ សំឡេង 'oo' នេះសមស្របជាមួយកម្មវិធីសិក្សាភាសាអង់គ្លេស K-10 របស់ NSW សម្រាប់សិស្សដំណាក់កាលទី ១ (កុមារទិញទៅឆ្នាំទី ២)។,មេរៀនអំពីសំឡេង 'oo' នេះលៃតម្រឹមតាមកម្មវិធីសិក្សាភាសាអង់គ្លេស K-10 របស់ NSW សម្រាប់សិស្សនៅដំណាក់កាលទី ១ (សាលាមតេយ្យដល់ថ្នាក់ទី ២)។
គោលបំណងសិក្សា:,គោលបំណងសិក្សា៖
សិស្សនឹងរៀនស្គាល់ និងបែកគ្នាផ្ទៀងផ្ទាត់សំឡេង 'oo' ខ្លី (ដូចជា 'សៀវភៅ') និងសំឡេង 'oo' គូរ (ដូចជា 'ខែព្រះអាទិត្យ')។,សិស្សនឹងរៀនស្គាល់ និងធ្វើឱ្យមានភាពខុសគ្នារវាងសំឡេងខ្លី 'oo' (ដូចជា ' book ') និងសំឡេងវែង 'oo' (ដូចជា ' moon')។
ការតភ្ជាប់កម្មវិធីសិក្សាភាសាអង់គ្លេស K-10 របស់ NSW:,តំណភ្ជាប់កម្មវិធីសិក្សាភាសាអង់គ្លេស K-10 របស់ NSW៖
ស្គាល់ និងបង្កើតពាក្យ និងស៊ីលាបដែលមានសម្លេងស្រដៀងគ្នា (ENe-7B)។,ស្គាល់ និងបង្កើតពាក្យចួន និងព្យាង្គ (ENe-7B)។
យល់ដឹងអំពីរបៀបផ្សព្វផ្សាយផ្សេងៗ (ENe-8B)។,យល់ដឹងអំពីរបៀបខុសៗគ្នាក្នុងការធ្វើទំនាក់ទំនង (ENe-8B)។
សកម្មភាពមេរៀន:,សកម្មភាពមេរៀន៖
ការណែនាំ (ថ្នាក់ពេញ - ១០ នាទី):,សេចក្ដីផ្ដើម (ថ្នាក់ទាំងមូល - ១០ នាទី)៖
"បង្ហាញរូបភាពនៃពាក្យដែលមាន 'oo' (ឧ. សៀវភៅ, ខែព្រះអាទិត្យ)។","បង្ហាញរូបភាពនៃពាក្យដែលមាន 'oo' (ឧ. book, moon)។"
ពិភាក្សាអំពីភាពខុសគ្នារវាងសំឡេង 'oo' ខ្លី និងសំឡេង 'oo' គូរ។,ពិភាក្សាអំពីភាពខុសគ្នារវាងសំឡេងខ្លី 'oo' និងសំឡេងវែង 'oo'។
សកម្មភាពច្រៀងភាសា (ក្រុមតូច - ១៥ នាទី):,សកម្មភាពតម្រៀបព្យាង្គ (ក្រុមតូច - ១៥ នាទី)៖
ផ្ដល់កាតពាក្យសម្រាប់ចម្រាញ់ចូលក្នុងប្រភេទ 'oo' ខ្លី និង 'oo' គូរ។,ផ្ដល់កាតពាក្យសម្រាប់តម្រៀបទៅក្នុងប្រភេទ 'oo' ខ្លី និង 'oo' វែង។
បង្ហាញសិស្សឲ្យអានពាក្យទាំងនោះបូកជាមួយ។,លើកទឹកចិត្តសិស្សឲ្យអានពាក្យទាំងនោះឮខ្លាំងៗ។
ហ្គេមអន្តរកម្ម (ថ្នាក់ពេញ - ១០ នាទី):,ហ្គេមអន្តរកម្ម (ថ្នាក់ទាំងមូល - ១០ នាទី)៖
ប្រើធនធានឌីជីថលដើម្បីលេងហ្គេមដែលសិស្សកំណត់ និងច្រៀងពាក្យ 'oo'។,ប្រើប្រាស់ធនធានឌីជីថលដើម្បីលេងហ្គេមដែលសិស្សកំណត់ និងបែងចែកជាប្រភេទនៃពាក្យ 'oo'។
សកម្មភាពអាន និងសរសេរ (ឯកត្តជន - ១៥ នាទី):,សកម្មភាពអាន និងសរសេរ (សិស្សដោយឡែកៗ - ១៥ នាទី)៖
ចែកចាយប្រយោគឬរឿងខ្លីដែលមានពាក្យ 'oo'។,ចែកចាយប្រយោគឬរឿងខ្លីៗដែលមានពាក្យ 'oo'។
សិស្សគូសសំឡេង 'oo' ហើយសរសេរប្រយោគរបស់ខ្លួនជាមួយរូបភាព។,សិស្សកំណត់សំឡេង 'oo' ហើយសរសេរប្រយោគរបស់ខ្លួនជាមួយរូបភាពបង្ហាញ។
ការបញ្ចប់ (ថ្នាក់ពេញ - ៥ នាទី):,ការបិទបញ្ចប់ (ថ្នាក់ទាំងមូល - ៥ នាទី)៖
ពិនិត្យសំឡេង 'oo' ខ្លី និង 'oo' គូរ។,ពិនិត្យឡើងវិញពីសំឡេងខ្លី 'oo' និងសំឡេងវែង 'oo'។
អញ្ជើញសិស្សចែករំលែកប្រយោគរបស់ពួកគេ។,អញ្ជើញសិស្សឱ្យចែករំលែកប្រយោគរបស់ពួកគេ។
ការវាយតម្លៃ:,ការវាយតម្លៃ៖
ការវាយតម្លៃក្នុងដំណាក់កាលតាមរយៈការសង្កេត និងមតិយោបល់អំពីការចូលរួមរបស់សិស្ស ការអាន និងការសរសេរនឹងពង្រឹងជំនាញភាសាខ្មែរ។,ទម្រង់នៃការ វាយតម្លៃតាមរយៈការសង្កេត និងមតិកែលម្អអំពីការចូលរួមរបស់សិស្ស កិច្ចការអាន និងកិច្ចការសរសេររបស់សិស្ស នឹងពង្រឹងជំនាញព្យាង្គ។
វាត្រូវបានប្រើវិធីសាស្រ្តនេះដើម្បី,វិធីសាស្រ្តមានកំណត់រចនាសម្ព័ន្ធនេះចូលរួមពាក់ព័ន្ធជាមួយសិស្សប្រកបដោយអត្ថន័យ ខណៈដែលបំពេញបានតាមលទ្ធផលកម្មវិធីសិក្សា NSW។
