Generated,Corrected
"Safari hii, iliyopewa jina ""Kuchunguza Galaksi Yetu,"" itatoa uzoefu wa kujifunza wa kuvutia na wa mwingiliano kuhusu maajabu ya galaksi yetu ya Milky Way.","Safari hii, iliyopewa jina ""Kuchunguza Galaksi Yetu,"" itatoa uzoefu wa kujifunza wa kuvutia na wa mwingiliano kuhusu maajabu ya galaksi yetu ya Milky Way."
Maelezo ya Safari:,Maelezo ya Msisimuko:
"Tarehe: Jumatano, Machi 17.","Tarehe: Jumatano, Machi 17."
Saa: Saa 10:00 AM - 12:00 PM.,Saa: Saa 10:00 AM - 12:00 PM.
Mahali: Ukumbi wa Shule ya Upili ya Harmony.,Mahali: Harmony High School Auditorium.
Gharama: $20 kwa mwanafunzi.,Gharama: $20 kwa mwanafunzi.
"Wakati wa safari hii, wanafunzi watapata fursa ya:","Wakati wa msisimuko huu, wanafunzi watapata fursa ya:"
kujifunza kuhusu uundaji na muundo wa galaksi yetu;,kujifunza kuhusu uundaji na muundo wa galaksi yetu;
"kugundua ukweli wa kusisimua kuhusu nyota, sayari, na miili mingine ya angani;","kugundua ukweli wa kusisimua kuhusu nyota, sayari, na miili mingine ya angani;"
kushiriki katika shughuli za vitendo na majaribio;,kushiriki katika shughuli za vitendo na majaribio;
kuwasiliana na wazungumzaji wenye ujuzi na kuuliza maswali.,kuwasiliana na wazungumzaji wenye ujuzi na kuuliza maswali.
"Gharama ya safari hii ni $20 kwa mwanafunzi, ambayo inafunika gharama za wazungumzaji wenye ujuzi na vifaa.","Gharama ya safari hii ni $20 kwa mwanafunzi, ambayo inafunika gharama za wazungumzaji wenye ujuzi na vifaa."
"Tafadhali hakikisha kwamba malipo yanatolewa kupitia lango la malipo la shule ifikapo Ijumaa, Machi 12.","Tafadhali hakikisha kwamba malipo yanatolewa kupitia lango la malipo la shule ifikapo Ijumaa, Machi 12."
Tafadhali kamilisha fomu ya ruhusa iliyounganishwa na uirudishe kwa teacher wa Sayansi wa mtoto wako kabla ya tarehe hiyo hiyo.,Tafadhali kamilisha fomu ya ruhusa iliyounganishwa na uirudishe kwa mwalimu wa Sayansi wa mtoto wako kabla ya tarehe hiyo hiyo.
Safari hii ni fursa nzuri kwa wanafunzi wetu kuongeza uelewa wao wa nyota na kupata shukrani kubwa kwa ulimwengu tunaoishi.,Safari hii ni fursa nzuri kwa wanafunzi wetu kuongeza uelewa wao wa nyota na kupata shukrani kubwa kwa ulimwengu tunaoishi.
Tunaamini itakuwa uzoefu wa kuchochea na wa kielimu kwa washiriki wote.,Tunaamini itakuwa uzoefu wa kuchochea na wa kielimu kwa washiriki wote.
"Ikiwa una maswali au unahitaji maelezo zaidi, tafadhali usisite kuwasiliana na ofisi ya shule.","Ikiwa una maswali au unahitaji maelezo zaidi, tafadhali usisite kuwasiliana na ofisi ya shule."
Asante kwa msaada wako katika kutoa uzoefu wa kielimu wenye manufaa kwa wanafunzi wetu.,Asante kwa msaada wako katika kutoa uzoefu wa kielimu wenye manufaa kwa wanafunzi wetu.
"Kwa heshima,","Kwa heshima,"
Fomu ya Ruhusa:,Fomu ya Ruhusa:
"Ninatoa ruhusa kwa mtoto wangu, katika Darasa la 8, kushiriki katika safari ya sayansi ""Kuchunguza Galaksi Yetu"" siku ya Jumatano, Machi 17.","Ninatoa ruhusa kwa mtoto wangu, katika Darasa la 8, kushiriki katika safari ya sayansi ""Kuchunguza Galaksi Yetu"" siku ya Jumatano, Machi 17."
"Ninaelewa kwamba gharama ya safari hii ni $20 na nakubaliana kufanya malipo kupitia lango la malipo la shule ifikapo Ijumaa, Machi 12.","Ninaelewa kwamba gharama ya msisimuko huu ni $20 na nakubaliana kufanya malipo kupitia lango la malipo la shule kabla ya Ijumaa, Machi 12."
Jina la mzazi/walezi;,Jina la mzazi/walezi;
Sahihi ya mzazi/walezi;,Sahihi ya mzazi/walezi;
Tarehe.,Tarehe.
"Tafadhali rudisha fomu hii ya ruhusa kwa teacher wa Sayansi wa mtoto wako kabla ya Ijumaa, Machi 12.","Tafadhali rudisha fomu hii ya ruhusa kwa mwalimu wa Sayansi wa mtoto wako kabla ya Ijumaa, Machi 12."
Salamu:,Salamu:
"Habari,","Habari,"
"Hujambo,","Hujambo,"
"Mambo,","Mambo,"
"Habari ya asubuhi,","Habari ya asubuhi,"
"Habari ya mchana,","Habari ya mchana,"
"Habari ya jioni,","Habari ya jioni,"
"Salamu,","Salamu,"
"Vipi,","Vipi,"
"Salamu,","Salamu,"
Hujambo huko.,Hujambo huko.
"Mtoto 1: Hujambo, mimi ni Lily.","Mtoto 1: Hujambo, mimi ni Lily."
Jina lako nani?,Jina lako nani?
Mtoto 2: Mimi ni Lucia.,Mtoto 2: Mimi ni Lucia.
"Mtoto 1: Je, una wanyama wa nyumbani?","Mtoto 1: Je, una wanyama wa nyumbani?"
"Mtoto 2: Ndiyo, nina paka anayeitwa Whiskers.","Mtoto 2: Ndiyo, nina paka anayeitwa Whiskers."
Na wewe?,Na wewe?
"Mtoto 1: Hiyo ni safi, Max!","Mtoto 1: Hiyo ni safi, Max!"
Nina mbwa anayeitwa Sparky.,Nina mbwa anayeitwa Sparky.
Yeye ni mchekeshaji sana na anapenda kufuata mipira.,Yeye ni mchekeshaji sana na anapenda kufuata mipira.
Mtoto 2: Whiskers anapenda kulala juani na kucheza na mipira ya nyuzi.,Mtoto 2: Whiskers anapenda kulala juani na kucheza na mipira ya nyuzi.
Kichwa cha Somo la 56: Kuchunguza Sauti ya 'oo'.,Kichwa cha Somo la 56: Kuchunguza Sauti ya 'oo'.
Somo hili la fonetiki kuhusu sauti ya 'oo' linaendana na Mtaala wa Kiingereza wa NSW K-10 kwa Wanafunzi wa Stage 1 (Shule ya Awali hadi Darasa la 2).,Somo hili la fonetiki kuhusu sauti ya 'oo' linaendana na Mtaala wa Kiingereza wa NSW K-10 kwa Wanafunzi wa Stage 1 (Kindergarten hadi Darasa la 2).
Madhumuni ya Kujifunza:,Madhumuni ya Kujifunza:
Wanafunzi watajifunza kutambua na kutofautisha kati ya sauti fupi ya 'oo' (kama katika 'kitabu') na sauti ndefu ya 'oo' (kama katika 'mwezi').,Wanafunzi watajifunza kutambua na kutofautisha kati ya sauti fupi ya 'oo' (kama katika 'book') na sauti ndefu ya 'oo' (kama katika 'moon').
Mifumo ya Mtaala wa Kiingereza wa NSW K-10:,Mifumo ya Viungo vya Mtaala wa Kiingereza wa NSW K-10:
Tambua na tengeneza maneno yanayopatana na silabi (ENe-7B).,Tambua na tengeneza maneno yanayopatana na silabi (ENe-7B).
Elewa njia tofauti za mawasiliano (ENe-8B).,Elewa njia tofauti za mawasiliano (ENe-8B).
Shughuli za Somo:,Shughuli za Somo:
Utangulizi (Darasa Zima - Dakika 10):,Utangulizi (Darasa Zima - Dakika 10):
"Onyesha picha za maneno yenye 'oo' (mfano, kitabu, mwezi).","Onyesha picha za maneno yenye 'oo' (mfano, book, moon)."
Jadili tofauti kati ya sauti fupi ya 'oo' na sauti ndefu ya 'oo'.,Jadili tofauti kati ya sauti fupi ya 'oo' na sauti ndefu ya 'oo'.
Shughuli ya Kupanua Fonetiki (Kikundi Kidogo - Dakika 15):,Shughuli ya Kupanua Fonetiki (Vikundi Vidogo - Dakika 15):
Toa kadi za maneno kwa ajili ya kupanga katika makundi ya 'oo' fupi na 'oo' ndefu.,Toa kadi za maneno kwa ajili ya kupanga katika makundi ya 'oo' fupi na 'oo' ndefu.
Himiza wanafunzi kusoma maneno hayo kwa sauti.,Himiza wanafunzi kusoma maneno hayo kwa sauti.
Mchezo wa Kihusisha (Darasa Zima - Dakika 10):,Mchezo wa Kihusisha (Darasa Zima - Dakika 10):
Tumia rasilimali ya kidigitali kucheza mchezo ambapo wanafunzi wanatambua na kupanga maneno ya 'oo'.,Tumia rasilimali ya kidigitali kucheza mchezo ambapo wanafunzi wanatambua na kupanga maneno ya 'oo'.
Shughuli ya Kusoma na Kuandika (Mtu binafsi - Dakika 15):,Shughuli ya Kusoma na Kuandika (Mtu binafsi - Dakika 15):
Kagua sentensi au hadithi fupi zenye maneno ya 'oo'.,Kagua sentensi au hadithi fupi zenye maneno ya 'oo'.
Wanafunzi wanaweka alama chini ya sauti za 'oo' na kuandika sentensi zao wenyewe huku wakichora picha.,Wanafunzi wanaweka alama chini ya sauti za 'oo' na kuandika sentensi zao wenyewe huku wakichora picha.
Hitimisho (Darasa Zima - Dakika 5):,Hitimisho (Darasa Zima - Dakika 5):
Revyu sauti fupi na ndefu za 'oo'.,Rudilia sauti fupi na ndefu za 'oo'.
Waombe wanafunzi washiriki sentensi zao.,Waombe wanafunzi washiriki sentensi zao.
Tathmini:,Tathmini:
"Tathmini ya muundo kupitia uchunguzi na mrejesho juu ya ushiriki wa wanafunzi, kazi za kusoma, na kuandika itaimarisha ujuzi wa fonetiki.","Tathmini ya muundo kupitia uchunguzi na mrejesho juu ya ushiriki wa wanafunzi, kazi za kusoma, na kuandika itaimarisha ujuzi wa fonetiki."
Njia hii iliyoandaliwa inawashughulisha wanafunzi kwa njia yenye maana wakati ikikidhi matokeo ya mtaala wa NSW.,Njia hii iliyoandaliwa inawashughulisha wanafunzi kwa njia yenye maana wakati ikikidhi matokeo ya mtaala wa NSW.
