Generated,Corrected
我們很高興地宣布，和諧高中即將為八年級的學生舉辦一次科學活動。,我們很高興地宣佈，和諧高中即將為八年級的學生舉辦一次科學活動。
這次活動名為「探索我們的銀河系」，將為學生提供一個有趣和互動的學習體驗，讓他們了解我們銀河系的奇妙之處。,這次活動名為「探索我們的銀河系」，將為學生提供有趣和互動的學習體驗，讓他們了解我們銀河系的奇妙之處。
活動詳情：,活動詳情：
日期：3月17日（星期三）,日期：3月17日（星期三）
時間：上午10:00至中午12:00,時間：上午10:00至中午12:00
地點：和諧高中大禮堂,地點：和諧高中大禮堂
費用：每位學生$20,費用：每位學生$20
在這次活動中，學生將有機會：,在這次活動中，學生將有機會：
學習我們銀河系的形成和結構；,學習我們銀河系的形成和結構；
探索有關恆星、行星和其他天體的迷人事實；,探索有關恆星、行星和其他天體的迷人事實；
參加實踐活動和實驗；,參加實踐活動和實驗；
與專家發表者互動並提出問題。,與專家發表者互動並提出問題。
此次活動的費用為每位學生$20，涵蓋專家發表者和材料的開支。,此次活動的費用為每位學生$20，涵蓋專家講解和資料費。
請確保在3月12日（星期五）之前通過學校付款平台進行付款。,請確保在3月12日（星期五）之前使用學校付款平台付款。
請填寫附上的許可證，並在同一天之前將其交回您孩子的科學老師。,請填寫附上的家長同意表格，並在付款截止日前交回你孩子的科學老師。
這次活動是我們學生深入了解天文學和增強對宇宙認識的絕佳機會。,這次活動是我們學生深入了解天文學和增強對宇宙認識的絕佳機會。
我們相信這將是所有參與者的一次啟發性和教育性的經歷。,我們相信這將為所有參與者帶來一次啟發性的教育經歷。
如果您有任何問題或需要進一步的信息，請隨時聯繫學校辦公室。,如果你有任何問題或需要進一步的資訊，請隨時聯絡學校辦公室。
感謝您對我們學生提供豐富教育體驗的支持。,感謝你支持我們為學生提供豐富的教育體驗。
此致，,此致，
許可證：,家長同意表格：
我同意我的孩子（八年級）參加於3月17日（星期三）舉行的「探索我們的銀河系」科學活動。,我同意我的孩子（八年級）參加於3月17日（星期三）舉行的「探索我們的銀河系」科學活動。
我明白活動費用為$20，並同意在3月12日（星期五）之前通過學校付款平台進行付款。,我明白活動費用為$20，並同意在3月12日（星期五）之前使用學校付款平台付款。
家長/監護人姓名；,家長/監護人姓名；
家長/監護人簽名；,家長/監護人簽名；
日期。,日期。
請在3月12日（星期五）之前將此許可證交回您孩子的科學老師。,請在3月12日（星期五）之前將此同意表格交回你孩子的科學老師。
問候語：,問候語：
你好、嗨、嘿、早唞、午唞、晚唞、問候、你好啊、致意、嗨！,你好、嗨、嘿、早安、午安、晚安、問候、你好啊、致敬、嗨！
小朋友1：嗨，我係Lily，你叫咩名？,小朋友1：嗨，我是Lily，你叫什麽名字？
小朋友2：我叫Lucia。,小朋友2：我叫Lucia。
小朋友1：你有冇寵物？,小朋友1：你有寵物嗎？
小朋友2：有，我有隻貓叫Whiskers。你呢？,小朋友2：有，我有隻貓叫Whiskers。你呢？
小朋友1：好靚啊，Max！我有隻狗叫Sparky。佢好好動，鍾意追波。,小朋友1：好棒啊，Max！我有隻狗叫Sparky。牠好調皮，喜歡追皮球。
小朋友2：Whiskers鍾意喺陽光下瞓覺，仲鍾意玩毛線球。,小朋友2：Whiskers喜歡在太陽下睡懶覺，還喜歡玩毛線球。
項課程標題：探索 'oo' 音。,項課程標題：探索 'oo' 音。
這個關於 'oo' 音的語音課程符合新南威爾士州英語 K-10 課程大綱，適合第一階段學生（幼稚園至二年級）。,這個關於 'oo' 音的語音課程符合新南威爾士州英語 K-10 課程大綱，適合第一階段學生（幼稚園至二年級）。
學習目標：學生將學會辨認和區分短音 'oo'（如 'book'）和長音 'oo'（如 'moon'）。,學習目標：學生將學會辨認和區分短音 'oo'（如 'book'）和長音 'oo'（如 'moon'）。
新南威爾士州英語 K-10 課程大綱連結：認識和產生押韻的詞語和音節（ENe-7B）。,新南威爾士州英語 K-10 課程大綱連結：認識和產生押韻的詞語和音節（ENe-7B）。
理解不同的溝通方式（ENe-8B）。,理解不同的溝通方式（ENe-8B）。
課程活動：,課程活動：
引入（全班 - 10 分鐘）：展示帶有 'oo' 的詞語圖片（例如，book、moon）。,介紹（全班 - 10 分鐘）：展示帶有 'oo' 的詞語圖片（例如，book、moon）。
討論短音 'oo' 和長音 'oo' 的區別。,討論短音 'oo' 和長音 'oo' 的區別。
語音分類活動（小組 - 15 分鐘）：提供詞卡，進行短音和長音 'oo' 的分類。,語音分類活動（分組 - 15 分鐘）：提供詞卡，為短音和長音 'oo' 分類。
鼓勵學生大聲讀出詞語。,鼓勵學生大聲讀出詞語。
互動遊戲（全班 - 10 分鐘）：使用數碼資源進行遊戲，讓學生識別和分類 'oo' 詞語。,互動遊戲（全班 - 10 分鐘）：使用數碼資源進行遊戲，讓學生識別和分類 'oo' 詞語。
閱讀和寫作活動（個別 - 15 分鐘）：發放包含 'oo' 詞語的句子或短故事。,閱讀和寫作活動（個別 - 15 分鐘）：發放包含 'oo' 詞語的句子或短故事。
學生在 'oo' 音上劃線，並寫出自己的句子及插圖。,學生在 'oo' 音上劃線，並寫出自己的句子及插圖。
總結（全班 - 5 分鐘）：回顧短音和長音 'oo'。,總結（全班 - 5 分鐘）：回顧短音和長音 'oo'。
邀請學生分享他們的句子。,邀請學生分享他們的句子。
評估：通過觀察和對學生參與、閱讀及寫作任務的反饋進行形成性評估，將加強語音技能。,評估：通過觀察和對學生參與、閱讀及寫作任務的反饋進行形成性評估，將加強拼讀技能。
這種有結構的方法以有意義的方式吸引學生，同時達到新南威爾士州課程的成果。,這種結構化的方法在達到新南威爾士州課程大綱設定的成果同時，能以有意思的方式吸引學生參與。
