Generated,Corrected
จัดการ์ดคำให้กับนักเรียนเพื่อจัดกลุ่มคำตามหมวดหมู่ 'oo' สั้นและ 'oo' ยาว และกระตุ้นให้นักเรียนอ่านคำออกเสียง,แจกบัตรคำให้นักเรียนจัดกลุ่มคำตามหมวดหมู่ 'oo' สั้นและ 'oo' ยาว และกระตุ้นให้นักเรียนอ่านออกเสียงคำเหล่านั้น
เกมเชิงโต้ตอบ (ทั้งชั้นเรียน - 10 นาที):,เกมเชิงปฏิสัมพันธ์ (ทั้งชั้นเรียน - 10 นาที)
ใช้ทรัพยากรดิจิทัลในการเล่นเกมที่นักเรียนต้องระบุและจัดหมวดหมู่คำที่มี 'oo',ใช้ทรัพยากรดิจิทัลในการเล่นเกม ซึ่งเป็นเกมที่นักเรียนต้องระบุและจัดหมวดหมู่คำที่มี 'oo'
กิจกรรมการอ่านและเขียน (บุคคล - 15 นาที):,กิจกรรมการอ่านและเขียน (รายบุคคล - 15 นาที)
แจกประโยคหรือเรื่องสั้นที่มีคำ 'oo' ให้นักเรียนขีดเส้นใต้เสียง 'oo' และเขียนประโยคของตนเองพร้อมภาพประกอบ,แจกประโยคหรือเรื่องสั้นที่มีคำ 'oo' ให้นักเรียนขีดเส้นใต้เสียง 'oo' และเขียนประโยคของตนเองพร้อมภาพประกอบ
การสรุป (ทั้งชั้นเรียน - 5 นาที):,การสรุปบทเรียน (ทั้งชั้นเรียน - 5 นาที)
ทบทวนเสียง 'oo' สั้นและ 'oo' ยาว เชิญนักเรียนแชร์ประโยคของตน,ทบทวนเสียง 'oo' สั้นและ 'oo' ยาว ชวนนักเรียนอ่านประโยคของตนให้ชั้นเรียน
การประเมินผล:,การประเมินผล
การประเมินแบบก่อตั้งจากการสังเกตและข้อเสนอแนะแก่นักเรียนเกี่ยวกับการเข้าร่วม กิจกรรมการอ่านและการเขียนจะช่วยเสริมทักษะการออกเสียง,การประเมินผลย่อยจากการสังเกตและให้ข้อเสนอแนะแบบเกี่ยวกับการมีส่วนร่วม การอ่าน และการเขียนของนักเรียนจะช่วยเสริมทักษะการออกเสียง
การจัดการเรียนการสอนที่มีโครงสร้างนี้มีส่วนร่วมกับนักเรียนอย่างมีความหมาย ในขณะที่ตอบสนองต่อผลลัพธ์ของหลักสูตร NSW,วิธีการจัดการเรียนการสอนที่มีโครงสร้างนี้ส่งเสริมให้นักเรียนมีส่วนร่วมอย่างมีความหมาย และบรรลุผลลัพธ์ของหลักสูตร NSW ในขณะเดียวกัน
