Generated,Corrected
هزینه این برنامه ۲۰ دلار برای هر دانش‌آموز است که هزینه‌های مربوط به ارائه‌دهندگان متخصص و مواد را پوشش می‌دهد.,هزینه این برنامه ۲۰ دلار برای هر دانش‌آموز است که شامل هزینه‌های مربوط به ارائه‌دهندگان و مواد تخصصی است.
لطفاً مطمئن شوید که پرداخت تا روز جمعه، ۱۲ مارس، از طریق پرتال پرداخت مدرسه انجام شود.,لطفاً مطمئن شوید که پرداخت باید تا روز جمعه ۱۲ مارس، از طریق پرتال پرداخت مدرسه انجام گردد.
لطفاً فرم اجازه‌نامه پیوست شده را پر کرده و تا همان تاریخ به معلم علوم فرزندتان برگردانید.,لطفاً فرم رضایتنامه‌ پیوستی را تکمیل نموده و در همان تاریخ به معلم علوم فرزندتان برگردانید.
این برنامه فرصتی عالی برای دانش‌آموزان ماست تا درک خود از نجوم را عمیق‌تر کرده و قدردانی بیشتری از دنیای هستی که در آن زندگی می‌کنیم داشته باشند.,این برنامه فرصتی فوق العاده برای دانش‌آموزان ماست تا دانش خود را در نجوم عمیق‌تر کرده و درک بهتری از دنیای هستی که در آن زندگی می‌کنیم پیدا کنند.
ما معتقدیم که این یک تجربه الهام‌بخش و آموزشی برای همه شرکت‌کنندگان خواهد بود.,ما معتقدیم که این یک تجربه الهام‌بخش و آموزشی برای همه شرکت‌کنندگان خواهد بود.
اگر سوالی دارید یا به اطلاعات بیشتری نیاز دارید، لطفاً در تماس با دفتر مدرسه تردید نکنید.,اگر سوالی دارید یا به اطلاعات بیشتری نیاز دارید، لطفاً در تماس با دفتر مدرسه تردید نکنید.
از حمایت شما در فراهم کردن تجربیات آموزشی غنی برای دانش‌آموزانمان سپاسگزاریم.,از حمایت شما در فراهم کردن تجربیات آموزشی غنی برای دانش‌آموزانمان سپاسگزاریم.
با احترام،,با احترامات صمیمانه،
فرم اجازه‌نامه:,فرم رضایت‌نامه:
"من اجازه می‌دهم که فرزندم، در سال هشتم، در برنامه علمی ""اکتشاف کهکشان ما"" در روز چهارشنبه، ۱۷ مارس، شرکت کند.","من اجازه می‌دهم که فرزندم، در سال هشتم، در برنامه علمی ""اکتشاف کهکشان ما"" در روز چهارشنبه، ۱۷ مارس، شرکت کند."
من متوجه هزینه برنامه ۲۰ دلار هستم و موافقت می‌کنم که پرداخت را تا روز جمعه، ۱۲ مارس، از طریق پرتال پرداخت مدرسه انجام دهم.,من متوجه هزینه برنامه ۲۰ دلار هستم و موافقت می‌کنم که پرداخت را تا روز جمعه، ۱۲ مارس، از طریق پرتال پرداخت مدرسه انجام دهم.
نام والد/سرپرست؛,نام والد/سرپرست؛
امضای والد/سرپرست؛,امضای والد/سرپرست؛
تاریخ.,تاریخ.
لطفاً این فرم اجازه‌نامه را تا روز جمعه، ۱۲ مارس، به معلم علوم فرزندتان برگردانید.,لطفاً این فرم اجازه‌نامه را تا روز جمعه، ۱۲ مارس، به معلم علوم فرزندتان برگردانید.
سلام و احوالپرسی:,احوالپرسی،
سلام،,سلام،
سلام،,سلام،
صبح بخیر،,صبح بخیر،
بعدازظهر بخیر،,بعدازظهر بخیر،
عصر بخیر،,عصر بخیر،
احوالپرسی،,احوالپرسی،
سلام،,سلام،
درود،,درود،
سلام بر شما.,سلام بر شما.
کودک ۱: سلام، من لیلی هستم.,کودک ۱: سلام، من لیلی هستم.
اسم تو چیه؟,اسم تو چیه؟
کودک ۲: من لوسیا هستم.,کودک ۲: من لوسیا هستم.
کودک ۱: آیا حیوان خانگی داری؟,کودک ۱: آیا حیوان خانگی داری؟
کودک ۲: بله، من یک گربه به نام ویسکرز دارم.,کودک ۲: بله، من یک گربه به نام ویسکرز دارم.
تو چطور؟,تو چطور؟
کودک ۱: این عالیه، مکس!,کودک ۱: عالیه، مکس!
من یک سگ به نام اسپارکی دارم.,من یک سگ به نام اسپارکی دارم.
او خیلی بازیگوش است و عاشق دویدن دنبال توپ‌هاست.,او خیلی بازیگوشه و عاشق دویدن دنبال توپ‌هاست.
کودک ۲: ویسکرز دوست دارد در آفتاب چرت بزند و با توپ‌های پشمی بازی کند.,کودک ۲: ویسکرز دوست دارد در آفتاب چرت بزنه و با توپ‌های پشمی بازی کند.
عنوان درس: کاوش در صدای 'oo'.,عنوان درس: کاوش در صدای 'oo'.
این درس فونیک در مورد صدای 'oo' با برنامه درسی زبان انگلیسی NSW K-10 برای دانش‌آموزان مرحله 1 (کودکستان تا سال دوم) هم‌راستا است.,این درس فونیک در مورد صدای 'oo' با برنامه درسی زبان انگلیسی NSW K-10 برای دانش‌آموزان مرحله 1 (کودکستان تا سال دوم) هم‌راستا است.
هدف یادگیری:,هدف یادگیری:
دانش‌آموزان یاد خواهند گرفت که صدای کوتاه 'oo' (مثل 'کتاب') و صدای بلند 'oo' (مثل 'ماه') را شناسایی و تفکیک کنند.,دانش‌آموزان یاد خواهند گرفت که صدای کوتاه 'oo' (مثل 'کتاب') و صدای بلند 'oo' (مثل 'ماه') را شناسایی و تفکیک کنند.
پیوندهای برنامه درسی زبان انگلیسی NSW K-10:,پیوندهای برنامه درسی زبان انگلیسی NSW K-10:
شناسایی و تولید کلمات و هجاهای قافیه‌ای (ENe-7B).,شناسایی و تولید کلمات و هجاهای قافیه‌ای (ENe-7B).
درک حالت‌های مختلف ارتباط (ENe-8B).,درک حالت‌های مختلف ارتباط (ENe-8B).
فعالیت‌های درس:,فعالیت‌های درس:
مقدمه (کلاس کامل - 10 دقیقه):,مقدمه (کلاس کامل - 10 دقیقه):
تصاویر کلماتی با 'oo' (مثلاً کتاب، ماه) را نمایش دهید.,تصاویر کلماتی با 'oo' (مثلاً کتاب، ماه) را نمایش دهید.
تفاوت‌های بین صدای کوتاه 'oo' و صدای بلند 'oo' را بحث کنید.,تفاوت‌های بین صدای کوتاه 'oo' و صدای بلند 'oo' را بحث کنید.
فعالیت دسته‌بندی فونیک (گروه‌های کوچک - 15 دقیقه):,فعالیت دسته‌بندی فونیک (گروه‌های کوچک - 15 دقیقه):
کارت‌های کلمه برای دسته‌بندی به دسته‌های کوتاه و بلند 'oo' ارائه دهید.,کارت‌های کلمه برای دسته‌بندی به دسته‌های کوتاه و بلند 'oo' ارائه دهید.
دانش‌آموزان را تشویق کنید که کلمات را با صدای بلند بخوانند.,دانش‌آموزان را تشویق کنید که کلمات را با صدای بلند بخوانند.
بازی تعاملی (کلاس کامل - 10 دقیقه):,بازی تعاملی (کلاس کامل - 10 دقیقه):
از یک منبع دیجیتال برای بازی استفاده کنید که در آن دانش‌آموزان کلمات 'oo' را شناسایی و دسته‌بندی کنند.,از یک منبع دیجیتال برای بازی استفاده کنید که در آن دانش‌آموزان کلمات 'oo' را شناسایی و دسته‌بندی کنند.
فعالیت خواندن و نوشتن (فردی - 15 دقیقه):,فعالیت خواندن و نوشتن (فردی - 15 دقیقه):
جملات یا داستان‌های کوتاهی با کلمات 'oo' توزیع کنید.,جملات یا داستان‌های کوتاهی با کلمات 'oo' توزیع کنید.
دانش‌آموزان صدای 'oo' را زیرخط بکشند و جملات خود را با تصاویری بنویسند.,دانش‌آموزان صدای 'oo' را زیرخط بکشند و جملات خود را با تصاویری بنویسند.
جمع‌بندی (کلاس کامل - 5 دقیقه):,جمع‌بندی (کلاس کامل - 5 دقیقه):
صدای کوتاه و بلند 'oo' را مرور کنید.,صدای کوتاه و بلند 'oo' را مرور کنید.
از دانش‌آموزان بخواهید جملات خود را به اشتراک بگذارند.,از دانش‌آموزان بخواهید جملات خود را به اشتراک بگذارند.
ارزیابی:,ارزیابی:
ارزیابی فرایندی از طریق مشاهده و بازخورد در مورد مشارکت، خواندن و نوشتن دانش‌آموزان، مهارت‌های فونیک را تقویت می‌کند.,ارزیابی فرایندی از طریق مشاهده و بازخورد در مورد مشارکت، خواندن و نوشتن دانش‌آموزان، مهارت‌های فونیک را تقویت می‌کند.
این رویکرد ساختاریافته به طور معناداری دانش‌آموزان را درگیر می‌کند در حالی که به نتایج برنامه درسی NSW پاسخ می‌دهد.,این رویکرد ساختاریافته به طور معناداری دانش‌آموزان را درگیر می‌کند در حالی که به نتایج برنامه درسی NSW پاسخ می‌دهد.
